issue,rule,path,baseline_line,disposition,evidence
AaCVnmGxk0u9GTZlJlnY,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,465,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlnP,python:S1192,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,488,implemented_pending_remote_scan,Share named SQL token/value-extraction patterns and numeric source-relative expression constants; no expression text changed.
AaCVnmGxk0u9GTZlJlnS,python:S1192,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,786,implemented_pending_remote_scan,Share named SQL token/value-extraction patterns and numeric source-relative expression constants; no expression text changed.
AaCVnmGxk0u9GTZlJlnQ,python:S1192,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1071,implemented_pending_remote_scan,Share named SQL token/value-extraction patterns and numeric source-relative expression constants; no expression text changed.
AaCVnmGxk0u9GTZlJlnZ,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1076,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlna,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1415,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlnb,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1528,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlnc,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1666,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlnU,python:S1192,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1692,implemented_pending_remote_scan,Share named SQL token/value-extraction patterns and numeric source-relative expression constants; no expression text changed.
AaCVnmGxk0u9GTZlJlnR,python:S1192,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1694,implemented_pending_remote_scan,Share named SQL token/value-extraction patterns and numeric source-relative expression constants; no expression text changed.
AaCVnmGxk0u9GTZlJlnO,python:S1192,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1696,implemented_pending_remote_scan,Share named SQL token/value-extraction patterns and numeric source-relative expression constants; no expression text changed.
AaCVnmGxk0u9GTZlJlnV,python:S1192,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1698,implemented_pending_remote_scan,Share named SQL token/value-extraction patterns and numeric source-relative expression constants; no expression text changed.
AaCVnmGxk0u9GTZlJlnd,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1706,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlne,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1831,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCWGRArwC-Yvzve39bl,python:S1192,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1854,implemented_pending_remote_scan,Share named SQL token/value-extraction patterns and numeric source-relative expression constants; no expression text changed.
AaCVnmGxk0u9GTZlJlnT,python:S1192,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1855,implemented_pending_remote_scan,Share named SQL token/value-extraction patterns and numeric source-relative expression constants; no expression text changed.
AaCVnmGxk0u9GTZlJlnf,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,1956,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlng,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,2021,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlnh,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,2073,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlni,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,2211,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlnj,python:S3358,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,2433,implemented_pending_remote_scan,Share explicit foreign-key/numeric fallback literal selection across three NULL/non-NULL matchers.
AaCVnmGxk0u9GTZlJlnk,python:S3358,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,2477,implemented_pending_remote_scan,Share explicit foreign-key/numeric fallback literal selection across three NULL/non-NULL matchers.
AaCVnmGxk0u9GTZlJlnl,python:S3358,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,2505,implemented_pending_remote_scan,Share explicit foreign-key/numeric fallback literal selection across three NULL/non-NULL matchers.
AaCVnmGxk0u9GTZlJlnm,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,2558,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlnn,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,2738,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlno,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,2797,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlnp,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,2879,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlnq,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,2934,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlnr,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,2975,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlns,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,3487,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCVnmGxk0u9GTZlJlnt,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,3602,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
AaCOzaWPkcuVuZeQceCS,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,91,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCVnmGHk0u9GTZlJlm6,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,283,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCVnmGHk0u9GTZlJlm7,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,725,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCOzaWPkcuVuZeQceCt,python:S8502,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,807,implemented_pending_remote_scan,"Use set.update for each FK column iterable, preserving iteration order and partial mutation semantics."
AaCOzaWPkcuVuZeQceCu,python:S8502,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,811,implemented_pending_remote_scan,"Use set.update for each FK column iterable, preserving iteration order and partial mutation semantics."
AaCVnmGHk0u9GTZlJlm8,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,822,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCVnmGHk0u9GTZlJlm9,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,835,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCVnmGHk0u9GTZlJlm-,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,872,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCVnmGHk0u9GTZlJlm_,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,1138,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCVnmGHk0u9GTZlJlnA,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,1420,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCVnmGHk0u9GTZlJlnB,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,1462,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCOzaWPkcuVuZeQceCj,python:S8502,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,1526,implemented_pending_remote_scan,"Use set.update for each FK column iterable, preserving iteration order and partial mutation semantics."
AaCVnmGHk0u9GTZlJlnC,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,1533,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCVnmGHk0u9GTZlJlnD,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,1588,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCOzaWPkcuVuZeQceCM,python:S1192,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,1654,implemented_pending_remote_scan,Name the shared SQL type parameter pattern once and reuse it in the three existing re.sub calls.
AaCVnmGHk0u9GTZlJlnF,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,1879,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCVnmGHk0u9GTZlJlnG,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,1925,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCOzaWPkcuVuZeQceCm,python:S1871,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,2000,implemented_pending_remote_scan,Combine Cases 1/4 parameter replacement and Cases 2/3 generator replacement inside the CHECK application helper; authoritative enum/LIKE priority and numeric-bound merge remain distinct.
AaCOzaWPkcuVuZeQceCn,python:S1871,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,2012,implemented_pending_remote_scan,Combine Cases 1/4 parameter replacement and Cases 2/3 generator replacement inside the CHECK application helper; authoritative enum/LIKE priority and numeric-bound merge remain distinct.
AaCOzaWPkcuVuZeQceCo,python:S8502,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,2067,implemented_pending_remote_scan,"Use set.update for each FK column iterable, preserving iteration order and partial mutation semantics."
AaCVnmGHk0u9GTZlJlnH,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,2158,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCVnmGHk0u9GTZlJlnI,python:S1226,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,2159,implemented_pending_remote_scan,"Remove the unused incoming gen argument from private entity-name selection; choose table-type policy, locale and UNIQUE alternative before assigning generator/params once."
AaCVnmGHk0u9GTZlJlnJ,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,2489,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCWGQ96wC-Yvzve39bj,python:S8786,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,2504,implemented_pending_remote_scan,Start identifier matching at a word boundary to avoid restarting a failed match at every character of long identifiers. Original and final-budget regressions time out on baseline; fixed parsing is linear for both condition and NULL matchers.
AaCWGQ96wC-Yvzve39bk,python:S8786,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,2507,implemented_pending_remote_scan,Start identifier matching at a word boundary to avoid restarting a failed match at every character of long identifiers. Original and final-budget regressions time out on baseline; fixed parsing is linear for both condition and NULL matchers.
AaCOzaWPkcuVuZeQceCp,python:S8502,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,2670,implemented_pending_remote_scan,"Use set.update for each FK column iterable, preserving iteration order and partial mutation semantics."
AaCVnmGHk0u9GTZlJlnK,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,2821,implemented_pending_remote_scan,"Guard unrelated rules early and separate locale inference, per-table source bounds, state-machine closure/anchor selection, single-clause NULL inference, parameter-key inference and CHECK application into private responsibilities. Original branch precedence and in-place mutation are preserved."
AaCOzaWPkcuVuZeQceCz,python:S1172,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,2959,implemented_pending_remote_scan,Remove unused schema_hash/budget parameters from private _heal_subgraph and its caller; remove the now-dead run-context hash field. Outer schema verification and budget expiration/fallback execution are unchanged.
AaCOzaWPkcuVuZeQceC0,python:S1172,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/orchestrator.py,2960,implemented_pending_remote_scan,Remove unused schema_hash/budget parameters from private _heal_subgraph and its caller; remove the now-dead run-context hash field. Outer schema verification and budget expiration/fallback execution are unchanged.
AaCOzaUXkcuVuZeQceB-,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/cli/ai_commands.py,515,implemented_pending_remote_scan,"Separate fallback model selection, retry-error recording, cache-entry decoding and CLI table merging; guard empty streaming content before token accounting. Preserve logging/error/cleanup order and public command signatures."
AaCOzaSmkcuVuZeQceBe,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/healer/candidate_validation.py,48,implemented_pending_remote_scan,"Separate per-column builtin validation from candidate table/name traversal, preserving provider setup order."
AaCOzaS9kcuVuZeQceBn,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/healer/degrader.py,93,implemented_pending_remote_scan,Guard unrelated groups and table prefixes early; extend dependent columns lazily in the existing order.
AaCOzaS9kcuVuZeQceBo,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/healer/degrader.py,210,implemented_pending_remote_scan,Guard unrelated groups and table prefixes early; extend dependent columns lazily in the existing order.
AaCVnl-Nk0u9GTZlJlm4,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/healer/diff_learner.py,135,implemented_pending_remote_scan,Use short-circuit any predicates for nested forbidden data without eager traversal.
AaCVnl__k0u9GTZlJlm5,python:S108,plugins/sqlseed-ai/src/sqlseed_ai/healer/level2_column_healer.py,205,implemented_pending_remote_scan,Removed config traversal with an empty pass body; source dependency type remains the existing TEXT default; removed now-unused private table_cfg parameter.
AaCOzaTakcuVuZeQceBw,python:S1172,plugins/sqlseed-ai/src/sqlseed_ai/healer/level3_compact_healer.py,80,implemented_pending_remote_scan,Removed unused mode from private user-prompt builder and its sole caller; public heal_compact mode still selects the system prompt.
AaCOzaSvkcuVuZeQceBf,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/healer/orchestrator.py,76,implemented_pending_remote_scan,Separated per-column L2 attempt recording and per-table field restoration; moved failed-round routing ahead of successful candidate handling; removed redundant success flag; explicit next-level branching and dict.fromkeys. Exception tests construct AIConfig outside raises scope.
AaCOzaSvkcuVuZeQceBg,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/healer/orchestrator.py,315,implemented_pending_remote_scan,Separated per-column L2 attempt recording and per-table field restoration; moved failed-round routing ahead of successful candidate handling; removed redundant success flag; explicit next-level branching and dict.fromkeys. Exception tests construct AIConfig outside raises scope.
AaCOzaSvkcuVuZeQceBh,python:S3358,plugins/sqlseed-ai/src/sqlseed_ai/healer/orchestrator.py,345,implemented_pending_remote_scan,Separated per-column L2 attempt recording and per-table field restoration; moved failed-round routing ahead of successful candidate handling; removed redundant success flag; explicit next-level branching and dict.fromkeys. Exception tests construct AIConfig outside raises scope.
AaCOzaSvkcuVuZeQceBi,python:S3358,plugins/sqlseed-ai/src/sqlseed_ai/healer/orchestrator.py,390,implemented_pending_remote_scan,Separated per-column L2 attempt recording and per-table field restoration; moved failed-round routing ahead of successful candidate handling; removed redundant success flag; explicit next-level branching and dict.fromkeys. Exception tests construct AIConfig outside raises scope.
AaCOzaSvkcuVuZeQceBj,python:S7519,plugins/sqlseed-ai/src/sqlseed_ai/healer/orchestrator.py,446,implemented_pending_remote_scan,Separated per-column L2 attempt recording and per-table field restoration; moved failed-round routing ahead of successful candidate handling; removed redundant success flag; explicit next-level branching and dict.fromkeys. Exception tests construct AIConfig outside raises scope.
AaCOzaSvkcuVuZeQceBk,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/healer/orchestrator.py,460,implemented_pending_remote_scan,Separated per-column L2 attempt recording and per-table field restoration; moved failed-round routing ahead of successful candidate handling; removed redundant success flag; explicit next-level branching and dict.fromkeys. Exception tests construct AIConfig outside raises scope.
AaCOzaS1kcuVuZeQceBl,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/healer/subgraph.py,28,implemented_pending_remote_scan,"Private traversal object owns explicit DFS state; separate node entry, successor scheduling and completion while preserving SCC order and lowlink semantics. Boolean membership initialization uses immutable False through dict.fromkeys."
AaCOzaS1kcuVuZeQceBm,python:S7519,plugins/sqlseed-ai/src/sqlseed_ai/healer/subgraph.py,39,implemented_pending_remote_scan,"Private traversal object owns explicit DFS state; separate node entry, successor scheduling and completion while preserving SCC order and lowlink semantics. Boolean membership initialization uses immutable False through dict.fromkeys."
AaCOzaXOkcuVuZeQceC9,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/refiner.py,363,implemented_pending_remote_scan,"Separate fallback model selection, retry-error recording, cache-entry decoding and CLI table merging; guard empty streaming content before token accounting. Preserve logging/error/cleanup order and public command signatures."
AaCOzaXOkcuVuZeQceC_,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/refiner.py,812,implemented_pending_remote_scan,"Separate fallback model selection, retry-error recording, cache-entry decoding and CLI table merging; guard empty streaming content before token accounting. Preserve logging/error/cleanup order and public command signatures."
AaCOzaVGkcuVuZeQceCH,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/repair/executor.py,37,implemented_pending_remote_scan,Separate each violation table repair from sorted violation dispatch while retaining context construction and exact catch/commit boundaries.
AaCRcpEDtyo-iTRYo9rC,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/repair/strategies.py,266,implemented_pending_remote_scan,"Separate range-bound collection/aggregation, source-shape normalization, inverted-bound reanchoring and database-failure parsing; use early guards and first-match enum lookup while preserving validation order."
AaCWGQ5mwC-Yvzve39bi,python:S1854,plugins/sqlseed-ai/src/sqlseed_ai/repair/strategies.py,534,implemented_pending_remote_scan,Phone-param guard no longer binds an unused local; actual pattern-param copy is unchanged.
